time,vt,vts,a,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,distance,vt_,s_,diff_s
2021/12/16 1:16,0,0,0,-0.006376769,0.306954985,-9.732302477,-0.000876738,0.003868215,-0.001656154,349.1626765,18.07990092,-124.0532319,33.02874974,0,,,
2021/12/16 1:16,0,0,0,-0.327969651,0.302405714,-9.723207952,-0.000963587,0.003731841,-0.002081143,351.7271603,22.5432289,-122.5556571,33.03221065,0,,,
2021/12/16 1:16,1,0.277777778,0.277777778,-0.462272243,0.307826643,-9.727467486,-0.0009334,0.003863043,-0.0033373,367.9983298,40.67173289,-119.9896044,33.02573127,0.277777778,0.462272243,0.462272243,0.600896511
2021/12/16 1:16,3,0.833333333,0.555555555,-0.649823392,0.313207068,-9.730013824,-0.000686676,0.003854338,-0.005072081,375.8789564,65.45896154,-116.9465126,33.02559535,1.111111111,1.112095635,1.574367878,0.705750623
2021/12/16 1:16,5,1.388888889,0.555555556,-1.044159095,0.293201608,-9.728123311,-0.001186878,0.003917919,-0.007946405,383.7595831,94.78624351,-69.98611932,33.03139269,2.5,2.15625473,3.730622608,0.67012943
2021/12/16 1:16,9,2.5,1.111111111,-1.066420246,0.349234304,-9.717202435,-0.001849319,0.004096652,-0.011405522,391.6402097,122.9183983,11.03414852,33.01981452,5,3.222674976,6.953297584,0.719083275
2021/12/16 1:16,13,3.611111111,1.111111111,-1.086633246,0.361234123,-9.723344385,-0.001210046,0.004223369,-0.015185031,299.745748,-1.4318062,-58.12100172,33.02284686,8.611111111,4.309308222,11.26260581,0.76457538
2021/12/16 1:16,17,4.722222222,1.111111111,-1.087532887,0.411242968,-9.722745806,-0.002152274,0.0043835,-0.018641452,141.3341837,-202.7203635,-140.9559051,33.03044803,13.33333333,5.396841109,16.65944692,0.800346698
2021/12/16 1:16,21,5.833333333,1.111111111,-1.089299789,0.458465825,-9.717262702,-0.001847351,0.004516018,-0.022504,290.2122409,-20.80194832,-128.8593972,33.02667805,19.16666667,6.486140898,23.14558781,0.828091592
2021/12/16 1:16,25,6.944444444,1.111111111,-0.888886618,0.497908691,-9.716669338,-0.002972265,0.004686971,-0.025917324,387.6700825,-150.4222224,-18.89847912,33.02836722,26.11111111,7.375027516,30.52061533,0.855523744
2021/12/16 1:16,28,7.777777778,0.833333334,-0.4688296,0.580542492,-9.724328523,-0.004560138,0.005009985,-0.025807646,327.0119645,-164.9180298,86.26270914,33.02646571,33.88888889,7.843857116,38.36447245,0.883340412
2021/12/16 1:16,29,8.055555556,0.277777778,-0.137417465,0.591761394,-9.711352718,-0.00643362,0.004553803,-0.019473521,250.7909603,-181.8584459,103.6874816,33.03945497,41.94444444,7.981274581,46.34574703,0.905033301
2021/12/16 1:16,30,8.333333333,0.277777777,-0.066893993,0.592604511,-9.710744319,-0.006291857,0.003436,-0.011253874,278.3434485,-180.0336729,90.55539775,33.03486198,50.27777778,8.048168574,54.3939156,0.924327238
2021/12/16 1:16,30,8.333333333,0,0.00362948,0.593447627,-9.71013592,-0.006150093,0.003654947,-0.003034227,305.8959367,-178.2088999,77.42331389,33.03026899,58.61111111,8.044539094,62.43845469,0.938702141
2021/12/16 1:16,30,8.333333333,0,-0.010333319,0.491452275,-9.742143391,-0.000216652,0.004078652,-0.000997406,364.1816964,0.388563188,87.31035578,33.02922246,66.94444444,8.054872413,70.49332711,0.949656474
2021/12/16 1:16,30,8.333333333,0,-0.016922203,0.57515227,-9.706496878,-0.000848554,0.003795527,-0.002085068,324.0478936,-105.9411381,22.16616816,33.02283319,75.27777778,8.071794616,78.56512172,0.958157718
2021/12/16 1:16,30,8.333333333,0,-0.015411313,0.536691275,-9.72755945,-0.001684462,0.003512875,-0.001940075,327.3066841,-88.78609983,-13.18028044,33.03014314,83.61111111,8.087205929,86.65232765,0.964903233
2021/12/16 1:16,30,8.333333333,0,-0.024852716,0.514340164,-9.71744394,-0.000372612,0.00365594,-0.00099691,356.179481,-12.96528419,57.15195931,33.03295985,91.94444444,8.112058645,94.7643863,0.970242599
2021/12/16 1:16,30,8.333333333,0,-0.026492961,0.539391882,-9.720357342,-0.000603368,0.003831132,-0.001665461,284.9776804,23.79356776,38.02016018,33.03398338,100.2777778,8.138551606,102.9029379,0.974488968
2021/12/16 1:16,30,8.333333333,0,0.0036211,0.533538157,-9.728290286,-0.0007305,0.0040545,-0.001676,364.3382647,155.9743163,-71.49593907,33.04111543,108.6111111,8.134930506,111.0378684,0.978144778
2021/12/16 1:16,30,8.333333333,0,0.022913813,0.519830627,-9.712665293,-0.000846253,0.003834867,-0.00180324,309.3027644,118.6536756,79.44661069,33.03811096,116.9444444,8.112016693,119.1498851,0.981490199
2021/12/16 1:16,30,8.333333333,0,0.027776768,0.54084089,-9.719422829,-0.001385939,0.003604695,-0.001482232,254.267264,-94.25831373,59.35457071,33.03914149,125.2777778,8.084239925,127.234125,0.984624037
2021/12/16 1:16,30,8.333333333,0,0.012365461,0.545482882,-9.718506355,0.000265671,0.004572816,-0.001200632,294.4144304,333.4440372,124.4031117,33.04052229,133.6111111,8.071874464,135.3059995,0.987473664
2021/12/16 1:16,30,8.333333333,0,0.023166905,0.532677405,-9.708179973,-0.001328419,0.005776189,-0.002046689,343.0794094,243.7754614,170.1227289,33.0436077,141.9444444,8.048707559,143.3547071,0.990162425
