x,y
19.44444444,16.00873138
19.44444444,15.9153932
19.44444444,15.8293362
19.44444444,15.73218507
19.44444444,15.63614108
19.44444444,15.54887285
19.44444444,15.45893953
19.44444444,15.36906437
19.44444444,15.27704899
19.44444444,15.1843416
19.44444444,15.09154564
19.44444444,15.00541232
19.44444444,14.91568932
19.44444444,14.82072003
19.44444444,14.73186696
19.44444444,14.52014128
19.16666667,13.94752838
18.88888889,13.36746182
18.33333333,12.80291109
17.77777778,12.22393376
17.5,11.63757364
16.94444444,11.03393094
16.38888889,10.4434067
15.83333333,9.840568165
15.55555556,9.245037458
15,8.580169097
14.44444444,7.882893411
13.88888889,7.202316892
13.05555556,6.558365739
12.5,5.884714392
11.94444444,5.204823251
11.66666667,4.513478265
10.83333333,3.832773073
10.27777778,3.185112626
9.722222222,2.553558113
9.166666667,1.930990006
8.611111111,1.334432835
8.055555556,0.724038928
7.5,0.122758501
6.944444444,0.476902896
6.666666667,1.075924923
6.111111111,1.678889396
5.555555556,2.272777284
5,2.866871087
4.444444444,3.48055924
3.888888889,4.07718658
3.333333333,4.656753106
2.777777778,5.23054854
2.222222222,5.793811958
1.666666667,6.317837026
1.111111111,6.634474837
0.833333333,6.928534508
0.555555556,7.151579508
0.277777778,7.177320361
0.277777778,7.20804839
0.277777778,7.553011793
0.277777778,7.608148878
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.277777778,0.580096211
0.833333333,1.583941389
1.944444444,2.635964838
3.055555556,3.705642824
4.166666667,4.782180143
5.277777778,5.85783767
6.388888889,6.929523735
7.5,7.996806256
8.333333333,9.055368506
9.444444444,10.12128608
10.55555556,11.18078183
11.66666667,12.24004493
12.77777778,13.18292336
13.88888889,13.87443905
14.72222222,14.32427068
15.55555556,14.56725535
15.83333333,14.65960447
16.11111111,14.58103621
16.11111111,14.51414116
16.11111111,14.43192183
15.83333333,14.52454044
15.83333333,14.97628856
16.38888889,15.41978139
16.94444444,15.77876725
17.5,16.10432741
17.77777778,16.40004048
18.33333333,16.66590646
18.61111111,16.8750456
18.88888889,17.05207922
19.16666667,17.13729198
19.16666667,17.092607
19.44444444,16.98762029
19.44444444,16.88847589
19.44444444,16.79128011
19.44444444,16.69107392
19.16666667,16.59560515
19.16666667,16.49551118
19.16666667,16.40008917
19.16666667,16.3127968
19.16666667,16.22972854
19.16666667,16.15059475
19.16666667,16.07286092
19.16666667,16.00622374
19.16666667,15.9127251
19.16666667,15.79601518
19.16666667,15.47245672
19.16666667,14.52750366
18.33333333,13.73114629
17.5,13.48184691
17.22222222,13.32934196
16.94444444,13.48943902
16.94444444,13.76005267
17.22222222,13.96998489
17.5,14.15514783
17.77777778,14.32694866
17.77777778,14.52656164
17.77777778,14.72198963
18.05555556,14.95654018
18.05555556,15.18825558
18.05555556,15.44019268
18.05555556,15.71019173
18.05555556,16.01490644
18.05555556,16.30995913
18.05555556,16.5976815
18.05555556,16.83490172
18.33333333,16.86831155
18.05555556,16.93278369
17.77777778,17.01174652
17.77777778,17.08426244
17.5,17.13160211
17.5,17.17160972
17.22222222,17.20080617
17.22222222,17.20888461
17.22222222,17.19485152
16.94444444,17.1540839
